date,room_type,is_weekend,is_weekday,is_public_holiday,is_festival,bookings
2023-01-01,Standard,1,0,1,False,36
2023-01-01,Deluxe,1,0,1,False,32
2023-01-01,Suite,1,0,1,False,23
2023-01-02,Standard,0,1,0,False,25
2023-01-02,Deluxe,0,1,0,False,12
2023-01-02,Suite,0,1,0,False,6
2023-01-03,Standard,0,1,0,False,17
2023-01-03,Deluxe,0,1,0,False,18
2023-01-03,Suite,0,1,0,False,11
2023-01-04,Standard,0,1,0,False,17
2023-01-04,Deluxe,0,1,0,False,17
2023-01-04,Suite,0,1,0,False,10
2023-01-05,Standard,0,1,0,False,23
2023-01-05,Deluxe,0,1,0,False,12
2023-01-05,Suite,0,1,0,False,8
2023-01-06,Standard,0,1,0,False,18
2023-01-06,Deluxe,0,1,0,False,9
2023-01-06,Suite,0,1,0,False,11
2023-01-07,Standard,1,0,0,False,29
2023-01-07,Deluxe,1,0,0,False,21
2023-01-07,Suite,1,0,0,False,13
2023-01-08,Standard,1,0,0,False,22
2023-01-08,Deluxe,1,0,0,False,19
2023-01-08,Suite,1,0,0,False,12
2023-01-09,Standard,0,1,0,False,16
2023-01-09,Deluxe,0,1,0,False,14
2023-01-09,Suite,0,1,0,False,11
2023-01-10,Standard,0,1,0,False,27
2023-01-10,Deluxe,0,1,0,False,15
2023-01-10,Suite,0,1,0,False,11
2023-01-11,Standard,0,1,0,False,19
2023-01-11,Deluxe,0,1,0,False,7
2023-01-11,Suite,0,1,0,False,9
2023-01-12,Standard,0,1,0,False,20
2023-01-12,Deluxe,0,1,0,False,24
2023-01-12,Suite,0,1,0,False,9
2023-01-13,Standard,0,1,0,False,21
2023-01-13,Deluxe,0,1,0,False,14
2023-01-13,Suite,0,1,0,False,5
2023-01-14,Standard,1,0,0,False,32
2023-01-14,Deluxe,1,0,0,False,24
2023-01-14,Suite,1,0,0,False,17
2023-01-15,Standard,1,0,0,False,24
2023-01-15,Deluxe,1,0,0,False,26
2023-01-15,Suite,1,0,0,False,8
2023-01-16,Standard,0,1,0,False,22
2023-01-16,Deluxe,0,1,0,False,23
2023-01-16,Suite,0,1,0,False,6
2023-01-17,Standard,0,1,0,False,17
2023-01-17,Deluxe,0,1,0,False,15
2023-01-17,Suite,0,1,0,False,7
2023-01-18,Standard,0,1,0,False,13
2023-01-18,Deluxe,0,1,0,False,15
2023-01-18,Suite,0,1,0,False,5
2023-01-19,Standard,0,1,0,False,21
2023-01-19,Deluxe,0,1,0,False,11
2023-01-19,Suite,0,1,0,False,16
2023-01-20,Standard,0,1,0,False,16
2023-01-20,Deluxe,0,1,0,False,13
2023-01-20,Suite,0,1,0,False,13
2023-01-21,Standard,1,0,0,False,23
2023-01-21,Deluxe,1,0,0,False,21
2023-01-21,Suite,1,0,0,False,19
2023-01-22,Standard,1,0,0,False,21
2023-01-22,Deluxe,1,0,0,False,21
2023-01-22,Suite,1,0,0,False,15
2023-01-23,Standard,0,1,0,False,23
2023-01-23,Deluxe,0,1,0,False,10
2023-01-23,Suite,0,1,0,False,4
2023-01-24,Standard,0,1,0,False,22
2023-01-24,Deluxe,0,1,0,False,16
2023-01-24,Suite,0,1,0,False,11
2023-01-25,Standard,0,1,0,False,21
2023-01-25,Deluxe,0,1,0,False,12
2023-01-25,Suite,0,1,0,False,10
2023-01-26,Standard,0,1,0,False,21
2023-01-26,Deluxe,0,1,0,False,12
2023-01-26,Suite,0,1,0,False,17
2023-01-27,Standard,0,1,0,False,21
2023-01-27,Deluxe,0,1,0,False,10
2023-01-27,Suite,0,1,0,False,12
2023-01-28,Standard,1,0,0,False,24
2023-01-28,Deluxe,1,0,0,False,24
2023-01-28,Suite,1,0,0,False,18
2023-01-29,Standard,1,0,0,False,24
2023-01-29,Deluxe,1,0,0,False,24
2023-01-29,Suite,1,0,0,False,15
2023-01-30,Standard,0,1,0,False,23
2023-01-30,Deluxe,0,1,0,False,22
2023-01-30,Suite,0,1,0,False,9
2023-01-31,Standard,0,1,0,False,16
2023-01-31,Deluxe,0,1,0,False,11
2023-01-31,Suite,0,1,0,False,6
2023-02-01,Standard,0,1,0,False,19
2023-02-01,Deluxe,0,1,0,False,16
2023-02-01,Suite,0,1,0,False,11
2023-02-02,Standard,0,1,0,False,23
2023-02-02,Deluxe,0,1,0,False,15
2023-02-02,Suite,0,1,0,False,15
2023-02-03,Standard,0,1,0,False,18
2023-02-03,Deluxe,0,1,0,False,25
2023-02-03,Suite,0,1,0,False,12
2023-02-04,Standard,1,0,0,False,24
2023-02-04,Deluxe,1,0,0,False,16
2023-02-04,Suite,1,0,0,False,15
2023-02-05,Standard,1,0,0,False,27
2023-02-05,Deluxe,1,0,0,False,23
2023-02-05,Suite,1,0,0,False,15
2023-02-06,Standard,0,1,0,False,19
2023-02-06,Deluxe,0,1,0,False,11
2023-02-06,Suite,0,1,0,False,3
2023-02-07,Standard,0,1,0,False,18
